,X,Y,H,Vx,Vy,Vh
224,683896.4768,5092471.16,26.22127627,0.599708657,0.593678722,0.60399788
225,683896.4584,5092471.042,26.56674358,0.600099947,0.59408437,0.603970011
226,683896.5174,5092471.091,26.45762856,0.600114305,0.594423183,0.603958832
227,683896.4938,5092471.13,26.34587916,0.599871852,0.594983261,0.603954389
228,683896.5572,5092471.27,26.34495232,0.599846222,0.595560834,0.604200734
229,683896.5434,5092471.289,26.41827354,0.600580226,0.595648779,0.604228006
230,683896.6347,5092471.31,26.44382886,0.601900456,0.594939417,0.60423881
231,683896.5773,5092471.289,26.42602987,0.604056291,0.593877043,0.604491159
232,683896.5893,5092471.242,26.42470816,0.606332352,0.592497072,0.604520793
233,683896.5442,5092471.224,26.42307055,0.60840791,0.591557854,0.604532545
234,683896.6319,5092471.204,26.23644277,0.610226489,0.590652489,0.604785228
235,683896.7159,5092471.277,25.9587046,0.611269258,0.589016496,0.605063038
236,683896.7446,5092471.296,25.80894094,0.611967564,0.587053747,0.605102799
237,683896.8295,5092471.307,25.48407583,0.611855574,0.584535774,0.605118519
238,683896.83,5092471.31,25.68955293,0.610889223,0.581938508,0.605372981
239,683896.6695,5092471.233,25.9339956,0.609795312,0.579805812,0.605403472
240,683896.5877,5092471.196,25.99535739,0.609147178,0.577964757,0.605415515
241,683896.5357,5092471.158,26.0095351,0.610023375,0.57641693,0.605668351
242,683896.5286,5092471.14,26.12712677,0.612073736,0.575659214,0.605698203
243,683896.5295,5092471.042,26.1455862,0.615052158,0.575499465,0.605710014
244,683896.5112,5092471.027,26.09282769,0.618187265,0.575188182,0.605714676
245,683896.4625,5092471.084,26.02619478,0.620640261,0.574887253,0.605716518
246,683896.428,5092471.135,25.96971238,0.622289893,0.574590282,0.60571725
247,683896.4419,5092471.224,25.65422002,0.623832299,0.5737988,0.605717466
248,683896.4765,5092471.207,25.67069107,0.626324471,0.572703749,0.605965719
249,683896.5357,5092471.207,25.91988018,0.628415362,0.571310896,0.605993799
250,683896.6783,5092471.266,25.98895539,0.629991906,0.570366631,0.606004889
251,683896.6359,5092471.308,26.04811693,0.630512813,0.568963087,0.606257359
252,683896.6384,5092471.161,26.15794716,0.630400897,0.567517957,0.606287052
253,683896.5638,5092471.142,26.06753897,0.629434579,0.566304991,0.606298769
254,683896.5221,5092471.173,26.13302398,0.62809278,0.565857768,0.606551535
255,683896.4389,5092471.216,26.19021602,0.626424381,0.565502816,0.60658133
256,683896.3884,5092471.185,26.27627179,0.624200816,0.565928513,0.606593155
257,683896.4491,5092471.182,26.07954125,0.62115382,0.566700719,0.606597763
258,683896.5112,5092471.194,26.15280936,0.617991514,0.567787958,0.60684774
259,683896.5338,5092471.176,26.15545796,0.614287283,0.569425755,0.606876414
260,683896.4789,5092471.043,26.39076373,0.610260911,0.572381217,0.606887852
261,683896.4969,5092471,26.43588361,0.606673519,0.576003532,0.606892338
262,683896.5037,5092470.978,26.76163609,0.603119259,0.580245466,0.606894196
263,683896.4534,5092470.995,26.97319103,0.599578093,0.584592267,0.607142983
264,683896.4645,5092470.958,27.02322561,0.596042223,0.588236244,0.606923075
265,683896.5079,5092470.941,26.81238877,0.59374882,0.591812964,0.607154307
266,683896.6118,5092470.927,26.79597403,0.59159595,0.594370679,0.607175612
267,683896.5419,5092471.09,26.55198169,0.59049091,0.596806394,0.607183997
268,683896.6202,5092471.058,26.22910822,0.590512215,0.598448814,0.607187295
269,683896.7175,5092471.07,26.03085478,0.591442555,0.599988374,0.607188636
270,683896.7606,5092471.026,26.12984315,0.593266221,0.600494666,0.607437333
271,683896.7464,5092471.008,25.74082834,0.595977044,0.600376968,0.607217304
272,683896.7678,5092471.035,25.83995064,0.599572669,0.600152747,0.607200623
273,683896.7298,5092471.083,25.68870312,0.603307769,0.599142009,0.607442021
274,683896.6741,5092471.092,25.47219501,0.606602058,0.597286349,0.607219209
275,683896.6908,5092471.063,25.7590755,0.608622119,0.595058866,0.607201437
276,683896.6513,5092471.048,25.71430579,0.609000506,0.593002545,0.607194303
277,683896.6798,5092471.006,25.8131259,0.609150622,0.591439739,0.607687666
278,683896.6938,5092470.998,26.02132252,0.60871399,0.590179952,0.607742465
279,683896.7797,5092470.962,26.04755545,0.608681788,0.58946593,0.607764147
280,683896.752,5092470.886,26.30726899,0.608916998,0.589819732,0.60777281
281,683896.7227,5092470.864,26.58249154,0.609435978,0.591059633,0.607776255
282,683896.684,5092470.97,26.29015765,0.609004737,0.591943605,0.607777457
283,683896.6417,5092471.03,26.34160577,0.608230372,0.591834685,0.607778021
284,683896.6934,5092471.096,26.35979062,0.60689431,0.591117713,0.608026317
285,683896.8365,5092471.111,26.44296025,0.605724468,0.589804235,0.608054359
286,683896.7986,5092471.139,26.46579054,0.604549856,0.588147122,0.608065464
287,683896.7223,5092471.04,26.52529563,0.603621538,0.586175843,0.608069878
288,683896.653,5092471.031,26.42610185,0.604208959,0.583406583,0.608071582
289,683896.6406,5092470.948,26.5590044,0.605719096,0.580283837,0.608072322
290,683896.5171,5092471.024,26.5380767,0.607631753,0.577836014,0.608072576
291,683896.4242,5092471.024,26.41882711,0.609385634,0.576932555,0.608320722
292,683896.4299,5092471.029,26.22400438,0.610898983,0.576715161,0.608348661
293,683896.4446,5092470.967,26.04808108,0.611891159,0.577373052,0.608359743
294,683896.4371,5092470.858,25.89124929,0.612569432,0.578662905,0.608364144
295,683896.4263,5092470.953,25.79362099,0.612697524,0.580311045,0.608117829
296,683896.5422,5092471.056,25.76545505,0.612252281,0.582030488,0.608090613
297,683896.593,5092471.079,25.77823713,0.611968471,0.583778023,0.608327912
298,683896.5382,5092471.127,25.95096301,0.611926269,0.58454457,0.608351622
299,683896.6686,5092471.12,25.72247776,0.61190969,0.584955644,0.608112834
300,683896.8455,5092471.204,25.76273892,0.612151246,0.585296462,0.608088652
