,X,Y,H
159,683882.8162040511,5092465.076279768,-17.251610495385798
160,683882.8466373854,5092464.9931131005,-17.26283271731254
161,683882.8555707189,5092464.9569464335,-17.107632717239277
162,683882.9877040521,5092465.053057543,-17.18773271718065
163,683882.9275151636,5092465.108279766,-16.954332717107363
164,683882.9268596089,5092465.068501986,-16.813554939034063
165,683882.9993484983,5092465.158001986,-16.764454938975412
166,683883.0538929425,5092465.059501986,-16.891154938902083
167,683883.1198596099,5092465.064890874,-16.85035493884341
168,683883.0733484993,5092465.113279763,-17.20295493877006
169,683883.1949262776,5092465.024501984,-17.397354938696697
170,683883.0666485,5092464.952390873,-17.369077160637993
171,683883.0357929444,5092464.8782797605,-17.246099383564605
172,683883.1180151666,5092464.847890871,-17.165799383505885
173,683883.105481834,5092464.800224205,-17.092099383432476
174,683883.0821262792,5092464.787557537,-17.035099383359054
175,683883.0708373908,5092464.811890869,-17.0577993833003
176,683883.067748502,5092464.844390869,-16.960421605226855
177,683883.1162373916,5092464.849224202,-16.865321605168084
178,683883.1248707247,5092464.9699464245,-17.084543827094613
179,683883.116281836,5092465.001835312,-17.12932160502113
180,683882.9900707256,5092464.881001978,-16.824243826962334
181,683883.0199373928,5092464.941613088,-16.729343826888826
182,683883.0285040593,5092464.9105019765,-16.83874382683001
183,683882.9638707265,5092464.96783531,-16.944443826756476
184,683882.9640707267,5092465.012168642,-17.020643826697643
185,683883.0559040603,5092465.026668643,-17.523866048624086
186,683883.0769596165,5092464.959168641,-17.419066048565234
187,683883.0958929501,5092465.027390863,-17.350488271491653
188,683883.1027040613,5092464.860446419,-16.98458827143278
189,683883.1114373954,5092464.852779751,-16.982388271359177
190,683883.0361929509,5092464.792946417,-16.97931049328556
191,683882.9007929512,5092464.653113083,-16.85218827122666
192,683882.8720929517,5092464.650279749,-16.870110493153017
193,683882.887526286,5092464.630001971,-17.115110493094097
194,683882.8838151742,5092464.643168637,-17.116932715020436
195,683882.8879373977,5092464.63150197,-17.0032327149615
196,683882.91445962,5092464.645557525,-17.13465493688781
197,683883.1232373985,5092464.654335301,-16.99883271482885
198,683883.2064929538,5092464.742557524,-16.871532714755137
199,683883.20794851,5092464.741335301,-16.577854936696163
200,683883.1895485104,5092464.8452241905,-16.605554936622426
201,683883.1003151766,5092464.874946411,-16.59115493656343
202,683882.986970733,5092464.976779743,-16.47577715848967
203,683882.8580707335,5092465.012168633,-16.77207715843065
204,683882.9074707337,5092465.019113075,-16.812677158371628
205,683882.7284151781,5092464.817779741,-16.38799938129784
206,683882.7479040674,5092464.675724186,-16.44399938123879
207,683882.8297374018,5092464.63566863,-16.706499381164978
208,683882.8584818463,5092464.667724186,-16.982799381105913
209,683882.9401485134,5092464.68877974,-16.988799381032074
210,683883.0027707356,5092464.637001961,-17.260199380972992
211,683882.9614929581,5092464.683668627,-17.54662160289913
212,683882.9957707364,5092464.612335294,-17.614799380840026
213,683882.950015181,5092464.517446404,-17.25982160278092
214,683883.0338040702,5092464.688168625,-17.063043824707023
215,683883.0141151814,5092464.7540575145,-16.987043824647895
216,683883.0638262939,5092464.831835291,-17.128943824573973
217,683883.0815485162,5092465.005335291,-17.244643824514824
218,683883.0462818495,5092465.094279734,-17.24574382444088
219,683882.996815183,5092465.088779734,-17.37164382438171
220,683882.9989707392,5092465.086001956,-17.417543824322536
221,683883.0467040725,5092465.044501956,-17.16104382424856
222,683883.0587929619,5092464.996001955,-17.156243824189364
223,683883.0444040733,5092464.915335288,-17.013743824115362
224,683882.9778374075,5092464.833613064,-16.84642160205615
225,683882.9594151849,5092464.70916862,-16.461821601996927
226,683883.0287929632,5092464.78516862,-16.63372160192289
227,683882.9915485196,5092464.829890842,-16.760521601863648
228,683883.064104075,5092464.988890841,-16.743543823804398
229,683883.0361040751,5092464.992724173,-16.648643823730325
230,683883.1370707428,5092465.013113061,-16.62254382367106
231,683883.0522596319,5092464.986335283,-16.64446604561178
232,683883.0640707432,5092464.936557505,-16.640166045537676
233,683883.0047374107,5092464.924501949,-16.637566045478376
234,683883.106804077,5092464.908168615,-16.851488268419075
235,683883.1893374112,5092464.999001947,-17.148210490344933
236,683883.2039929667,5092465.015557502,-17.27871049028561
237,683883.2895929669,5092465.025279724,-17.625210490226277
238,683883.271492967,5092465.027168613,-17.330932712152098
239,683883.0744485237,5092464.9370575,-17.052632712092752
240,683882.992281857,5092464.903501945,-17.010232712033392
241,683882.9415929682,5092464.868613055,-17.00515493395918
242,683882.9383374136,5092464.857835278,-16.8697549338998
243,683882.9377374138,5092464.750890831,-16.860354933840412
244,683882.9111596362,5092464.749946387,-16.923754933766165
245,683882.8512818586,5092464.826168609,-16.992954933706763
246,683882.812204081,5092464.882557496,-17.045454933647346
247,683882.8285707482,5092464.980946385,-17.400054933573067
248,683882.8625596374,5092464.950446385,-17.334777155513635
249,683882.9208707489,5092464.953390828,-17.02947715545419
250,683883.0739374162,5092465.023779717,-16.972677155394745
251,683882.9983485275,5092465.067057494,-16.914399378320418
252,683882.9952596389,5092464.888779716,-16.793499378260943
253,683882.9027485282,5092464.883668604,-16.912099378201468
254,683882.8592707503,5092464.925279715,-16.82462160014198
255,683882.7659929729,5092464.973613047,-16.75882160006761
256,683882.7174485292,5092464.929390824,-16.662721600008105
257,683882.7965818624,5092464.925335269,-16.90202159994859
258,683882.8631929739,5092464.937279712,-16.79124382188906
259,683882.8802596412,5092464.9106686,-16.786343821814647
260,683882.8119151965,5092464.752779712,-16.507943821755102
261,683882.8406263087,5092464.713446378,-16.48044382169555
262,683882.8499929751,5092464.693113043,-16.108643821635994
