X,Y,Z,Latitude,Longitude,Altitude (m)
683881.061034792,5092463.44412731,-19.919,45.96109782,-66.62690779,-19.919
683881.061134089,5092463.44079421,-19.923,45.96109779,-66.62690779,-19.923
683881.05871026,5092463.44405806,-19.931,45.96109782,-66.62690782,-19.931
683881.056253331,5092463.44843292,-19.937,45.96109786,-66.62690785,-19.937
683881.051438771,5092463.45384957,-19.944,45.96109791,-66.62690791,-19.944
683881.048882545,5092463.46155753,-19.951,45.96109798,-66.62690794,-19.951
683881.046425615,5092463.4659324,-19.957,45.96109802,-66.62690797,-19.957
683881.045485276,5092463.47146447,-19.965,45.96109807,-66.62690798,-19.965
683881.042253503,5092463.47581625,-19.972,45.96109811,-66.62690802,-19.972
683881.038213787,5092463.48125599,-19.979,45.96109816,-66.62690807,-19.979
683881.033333028,5092463.48889469,-19.985,45.96109823,-66.62690813,-19.985
683881.026902583,5092463.49648724,-19.993,45.9610983,-66.62690821,-19.993
683881.021346278,5092463.50076977,-20.001,45.96109834,-66.62690828,-20.001
683881.015789973,5092463.50505231,-20.007,45.96109838,-66.62690835,-20.007
683881.009491923,5092463.50820073,-20.012,45.96109841,-66.62690843,-20.012
683881.001644186,5092463.51130298,-20.017,45.96109844,-66.62690853,-20.017
683880.996862724,5092463.5156086,-20.025,45.96109848,-66.62690859,-20.025
683880.99369715,5092463.51773832,-20.033,45.9610985,-66.62690863,-20.033
683880.991405717,5092463.51655804,-20.04,45.96109849,-66.62690866,-20.04
683880.98443212,5092463.51635029,-20.047,45.96109849,-66.62690875,-20.047
683880.97904131,5092463.51507767,-20.054,45.96109848,-66.62690882,-20.054
683880.976008132,5092463.51276328,-20.06,45.96109846,-66.62690886,-20.06
683880.976849174,5092463.5105643,-20.063,45.96109844,-66.62690885,-20.063
683880.983147225,5092463.50741588,-20.068,45.96109841,-66.62690877,-20.068
683880.990253218,5092463.50317951,-20.071,45.96109837,-66.62690868,-20.071
683880.997259914,5092463.50227624,-20.075,45.96109836,-66.62690859,-20.075
683881.004200411,5092463.50359502,-20.082,45.96109837,-66.6269085,-20.082
683881.011174007,5092463.50380277,-20.088,45.96109837,-66.62690841,-20.088
683881.019631094,5092463.50627875,-20.094,45.96109839,-66.6269083,-20.094
683881.028829926,5092463.50988885,-20.099,45.96109842,-66.62690818,-20.099
683881.035902819,5092463.50676351,-20.103,45.96109839,-66.62690809,-20.103
683881.045300245,5092463.50370742,-20.109,45.96109836,-66.62690797,-20.109
683881.055406318,5092463.50289648,-20.114,45.96109835,-66.62690784,-20.114
683881.060962623,5092463.49861395,-20.117,45.96109831,-66.62690777,-20.117
683881.064161296,5092463.49537319,-20.119,45.96109828,-66.62690773,-20.119
683881.066419629,5092463.4976645,-20.123,45.9610983,-66.6269077,-20.123
683881.067770723,5092463.50437685,-20.129,45.96109836,-66.62690768,-20.129
683881.067439732,5092463.51548715,-20.134,45.96109846,-66.62690768,-20.134
683881.067174939,5092463.52437539,-20.139,45.96109854,-66.62690768,-20.139
683881.065393556,5092463.53210644,-20.142,45.96109861,-66.6269077,-20.142
683881.063711472,5092463.53650439,-20.146,45.96109865,-66.62690772,-20.146
683881.060446601,5092463.54196721,-20.15,45.9610987,-66.62690776,-20.15
683881.058830715,5092463.5441431,-20.152,45.96109872,-66.62690778,-20.152
683881.055632041,5092463.54738385,-20.156,45.96109875,-66.62690782,-20.156
683881.054016154,5092463.54955975,-20.158,45.96109877,-66.62690784,-20.158
683881.05085058,5092463.55168947,-20.16,45.96109879,-66.62690788,-20.16
683881.043843884,5092463.55259275,-20.163,45.9610988,-66.62690797,-20.163
683881.036029245,5092463.55458397,-20.166,45.96109882,-66.62690807,-20.166
683881.029797393,5092463.55551033,-20.169,45.96109883,-66.62690815,-20.169
683881.022856896,5092463.55419155,-20.169,45.96109882,-66.62690824,-20.169
683881.018174733,5092463.55516408,-20.174,45.96109883,-66.6269083,-20.174
683881.013525668,5092463.55502558,-20.176,45.96109883,-66.62690836,-20.176
683881.008942802,5092463.55266501,-20.177,45.96109881,-66.62690842,-20.177
683881.004293738,5092463.55252651,-20.18,45.96109881,-66.62690848,-20.18
683881.001194361,5092463.55243418,-20.183,45.96109881,-66.62690852,-20.183
683880.998061886,5092463.55345287,-20.185,45.96109882,-66.62690856,-20.185
683880.995638057,5092463.55671671,-20.187,45.96109885,-66.62690859,-20.187
683880.992472482,5092463.55884644,-20.189,45.96109887,-66.62690863,-20.189
683880.990048653,5092463.56211028,-20.191,45.9610989,-66.62690866,-20.191
683880.990658001,5092463.56768851,-20.194,45.96109895,-66.62690865,-20.194
683880.990525605,5092463.57213263,-20.197,45.96109899,-66.62690865,-20.197
