,X,Y,H
355,683878.0662777803,5092467.426944432,-13.845611109999997
356,683878.0646111133,5092467.429722209,-13.835611109999997
357,683878.0637777803,5092467.432499987,-13.825611109999997
358,683878.0643333363,5092467.4349999875,-13.815611109999997
359,683878.0657222254,5092467.43722221,-13.805611109999997
360,683878.0671111144,5092467.4402777655,-13.795611109999998
361,683878.0679444474,5092467.443611098,-13.785611109999998
362,683878.0682222254,5092467.44722221,-13.775611109999998
363,683878.0673888924,5092467.4505555425,-13.765611109999998
364,683878.0660000034,5092467.453055543,-13.755611109999998
365,683878.0643333363,5092467.4558333205,-13.745611109999999
366,683878.0621111143,5092467.459166653,-13.735611109999999
367,683878.0593333363,5092467.462777765,-13.72561111
368,683878.0557222253,5092467.466666654,-13.71561111
369,683878.0521111144,5092467.471666654,-13.70561111
370,683878.0482222254,5092467.478055542,-13.695888887999999
371,683878.0435000034,5092467.485555543,-13.686166665999998
372,683878.0385000034,5092467.493333321,-13.676444443999998
373,683878.0329444474,5092467.500277765,-13.666722221999997
374,683878.0265555583,5092467.505277765,-13.657277777999997
375,683878.0185000023,5092467.507777765,-13.647833333999998
376,683878.0071111133,5092467.507777765,-13.638666666999997
377,683877.9940555573,5092467.505833321,-13.629499999999997
378,683877.9793333353,5092467.501666654,-13.620611110999997
379,683877.9626666683,5092467.496944432,-13.611722221999997
380,683877.9435000013,5092467.49222221,-13.603111110999997
381,683877.9223888903,5092467.487777767,-13.594777777999997
382,683877.9001666683,5092467.483888878,-13.586444444999998
383,683877.8779444464,5092467.47972221,-13.578388888999998
384,683877.8562777794,5092467.475555543,-13.570611110999998
385,683877.8348888904,5092467.470833321,-13.562833332999999
386,683877.8137777793,5092467.464444432,-13.555333332999998
387,683877.7935000013,5092467.459166654,-13.548111110999999
388,683877.7740555573,5092467.455277765,-13.540888889
389,683877.7557222244,5092467.453611098,-13.533666667
390,683877.7382222244,5092467.456111099,-13.527000000000001
391,683877.7210000023,5092467.462499987,-13.520055556
392,683877.7040555583,5092467.471944432,-13.513388889000002
393,683877.6868333363,5092467.4836110985,-13.506722222000002
394,683877.6698888922,5092467.4974999875,-13.500055555000003
395,683877.6523888923,5092467.513888877,-13.493666666000003
396,683877.6343333363,5092467.532499988,-13.487277777000003
397,683877.6160000033,5092467.553611099,-13.480888888000003
398,683877.5990555593,5092467.577777766,-13.474499999000003
399,683877.5837777812,5092467.604999987,-13.468111110000002
400,683877.5690555592,5092467.635277766,-13.461999999000003
401,683877.5543333372,5092467.668055544,-13.455888888000004
402,683877.5401666702,5092467.702499988,-13.449777777000005
403,683877.5262777812,5092467.737777766,-13.443944444000005
404,683877.5123888922,5092467.7752777655,-13.437833333000006
405,683877.4976666702,5092467.814444432,-13.431722222000007
406,683877.4815555592,5092467.853611099,-13.425611111000007
407,683877.4646111152,5092467.892777765,-13.419500000000008
408,683877.4476666711,5092467.930833321,-13.413111111000008
409,683877.4304444491,5092467.96722221,-13.406722222000008
410,683877.413222227,5092468.001388877,-13.400333333000008
411,683877.3965555601,5092468.032777766,-13.393944444000008
412,683877.3798888931,5092468.062777766,-13.387277777000008
413,683877.362666671,5092468.091944433,-13.38061111000001
414,683877.3448888931,5092468.117777766,-13.37394444300001
415,683877.3265555601,5092468.139722209,-13.36699999900001
416,683877.3076666711,5092468.157499988,-13.35977777700001
417,683877.2873888931,5092468.1711110985,-13.35283333300001
418,683877.265444449,5092468.181944432,-13.34561111100001
419,683877.241833338,5092468.190555543,-13.33811111100001
420,683877.216833338,5092468.19722221,-13.33061111100001
421,683877.1901666711,5092468.203888876,-13.32283333300001
422,683877.1626666711,5092468.210555543,-13.315055555000011
423,683877.1343333381,5092468.215277765,-13.307277777000012
424,683877.1060000052,5092468.219444432,-13.299222221000012
425,683877.0776666722,5092468.2233333215,-13.290888888000012
